Building Name,ADDRESS
IRWIN INDOOR FOOTBALL FACILITY,301 E. PEABODY DR. CHAMPAIGN IL
RECEIVER & MICROWAVE STRUCTR,1108 W. MAIN STREET URBANA IL
ELECTRICAL AND COMPUTER ENGINEERING,306 N. WRIGHT ST. URBANA IL
604 S. GREGORY ST.,604 S. GREGORY ST. URBANA IL
"1109 W MAIN, URBANA",1109 W. MAIN URBANA IL
1002 W. NEVADA,1002 W. NEVADA ST. URBANA IL
"909 W OREGON, URBANA",909 W. OREGON URBANA IL
"1817 &1819 S. NEIL ST, CHAMPAIGN",1819 S. NEIL ST CHAMPAIGN IL
1208 W. STOUGHTON,1208 W. STOUGHTON URBANA IL
"501 S. SIXTH, CHAMPAIGN",501 S. SIXTH CHAMPAIGN IL
1208 1/2 W. MAIN,1208 1/2 W. MAIN URBANA IL
1212 W. STOUGHTON,1212 W. STOUGHTON URBANA IL
ENGINEERING ANNEX,1011 W. WESTERN URBANA IL
1113 W. MAIN,1113 W. MAIN URBANA IL
"710 W. PARK, URBANA",710 W. PARK URBANA IL
1108 W. SPRINGFIELD,1108 W. SPRINGFIELD URBANA IL
"502 E JOHN, CHAMPAIGN",502 E JOHN CHAMPAIGN IL
